duration,protocol,src_port,dst_port,src_bytes,dst_bytes,src_pkts,dst_pkts,syn_rate,ack_rate,psh_rate,avg_pkt_size,byte_std,flow_iat_mean,active_duration,is_land,label
98.31218,TCP,59526.0,80.0,362.0,11595.0,5.0,6.0,0.0,0.0,0.0,1087.5454,2559.559,9.831218,0.012003,0,DDoS
7.2e-05,TCP,48560.0,22.0,0.0,0.0,1.0,1.0,0.0,0.5,0.0,0.0,0.0,7.2e-05,0.0,0,BruteForce
0.062165,UDP,59923.0,53.0,120.0,194.0,4.0,2.0,0.0,0.0,0.0,57.333332,32.692654,0.012433,0.0,0,Benign
4.2e-05,TCP,55826.0,1038.0,2.0,6.0,1.0,1.0,0.0,0.0,0.5,5.0,2.309401,4.2e-05,0.0,0,PortScan
0.000986,TCP,34808.0,80.0,0.0,0.0,6.0,0.0,0.0,0.16666667,0.0,0.0,0.0,0.0001972,0.0,0,DDoS
11.297846,TCP,46712.0,22.0,2008.0,2745.0,21.0,32.0,0.0,0.0,0.018867925,89.679245,189.59027,0.21726626,0.0,0,BruteForce
99.51867,TCP,35778.0,80.0,324.0,11595.0,7.0,7.0,0.0,0.071428575,0.0,851.3571,1620.4441,7.655283,0.00104,0,DDoS
4.3e-05,TCP,34212.0,2909.0,2.0,6.0,1.0,1.0,0.0,0.0,0.5,5.0,2.309401,4.3e-05,0.0,0,PortScan
85.26517,TCP,46336.0,80.0,351.0,11595.0,8.0,6.0,0.0,0.071428575,0.0,853.2857,1525.3914,6.558859,0.000989,0,DDoS
3.5e-05,TCP,8080.0,52221.0,6.0,6.0,1.0,1.0,0.0,0.5,0.0,9.0,0.0,3.5e-05,0.0,0,Botnet
99.87423,TCP,49914.0,80.0,397.0,11595.0,7.0,7.0,0.0,0.0,0.0,857.0,1619.8287,7.682633,0.013952,0,DDoS
0.060392,UDP,64680.0,53.0,86.0,142.0,2.0,2.0,0.0,0.0,0.0,67.75,15.336231,0.020130666,0.0,0,Benign
3e-06,TCP,52113.0,443.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3e-06,0.0,0,Benign
13.06273,TCP,48896.0,22.0,2008.0,2745.0,21.0,32.0,0.0,0.0,0.018867925,89.679245,189.59027,0.25120634,0.0,0,BruteForce
8.8e-05,TCP,443.0,55226.0,0.0,0.0,1.0,3.0,0.0,0.25,0.0,0.0,0.0,2.9333334e-05,0.0,0,Benign
1.3e-05,TCP,42849.0,515.0,2.0,6.0,1.0,1.0,0.0,0.0,0.5,5.0,2.309401,1.3e-05,0.0,0,PortScan
63.11292,TCP,49396.0,80.0,0.0,0.0,7.0,0.0,0.0,0.0,0.14285715,0.0,0.0,10.5,7.009195,0,DDoS
5.954169,TCP,62174.0,80.0,0.0,0.0,3.0,1.0,0.0,0.0,0.25,0.0,0.0,1.984723,0.0,0,Benign
0.000107,TCP,52344.0,22.0,0.0,0.0,1.0,1.0,0.0,0.5,0.0,0.0,0.0,0.000107,0.0,0,BruteForce
116.02206,TCP,56998.0,80.0,482.0,513.0,17.0,14.0,0.0,0.0,0.032258064,32.096775,122.41583,3.8674018,0.12778237,0,Benign
0.000239,UDP,62791.0,389.0,496.0,350.0,2.0,2.0,0.0,0.0,0.0,273.5,39.983746,7.9666665e-05,0.0,0,Benign
116.53171,TCP,32891.0,443.0,3125.0,17002.0,26.0,27.0,0.0,0.0,0.018867925,379.75473,682.0513,2.2409942,0.124257095,0,Benign
7.4e-05,TCP,51266.0,22.0,0.0,0.0,1.0,1.0,0.0,0.5,0.0,0.0,0.0,7.4e-05,0.0,0,BruteForce
7.1e-05,TCP,49008.0,8021.0,2.0,6.0,1.0,1.0,0.0,0.0,0.5,5.0,2.309401,7.1e-05,0.0,0,PortScan
4.8e-05,TCP,58056.0,1124.0,2.0,6.0,1.0,1.0,0.0,0.0,0.5,5.0,2.309401,4.8e-05,0.0,0,PortScan
4.9e-05,TCP,4860.0,135.0,0.0,0.0,2.0,0.0,0.0,0.5,0.0,0.0,0.0,4.9e-05,0.0,0,Benign
0.089694,TCP,51596.0,8080.0,207.0,134.0,4.0,3.0,0.0,0.0,0.14285715,48.714287,75.57577,0.014949,0.0,0,Botnet
0.000694,UDP,137.0,137.0,408.0,372.0,6.0,6.0,0.0,0.0,0.0,70.666664,3.1132472,6.3090905e-05,0.0,0,Benign
0.072741,TCP,51741.0,8080.0,1035.0,134.0,4.0,3.0,0.0,0.0,0.14285715,167.0,357.01157,0.0121235,0.0,0,Botnet
6.6e-05,TCP,49160.0,22.0,0.0,0.0,1.0,1.0,0.0,0.5,0.0,0.0,0.0,6.6e-05,0.0,0,BruteForce
85.79623,TCP,48326.0,80.0,652.0,11595.0,8.0,6.0,0.0,0.071428575,0.0,874.7857,1515.9977,6.5997095,0.000995,0,DDoS
12.052675,TCP,46630.0,22.0,2008.0,2745.0,24.0,31.0,0.0,0.0,0.018181818,86.41818,186.83966,0.22319768,0.0,0,BruteForce
4.8e-05,TCP,39492.0,5080.0,2.0,6.0,1.0,1.0,0.0,0.0,0.5,5.0,2.309401,4.8e-05,0.0,0,PortScan
3e-06,TCP,51946.0,80.0,0.0,0.0,2.0,0.0,0.0,0.5,0.0,0.0,0.0,3e-06,0.0,0,DDoS
0.000168,UDP,9961.0,53.0,88.0,188.0,2.0,2.0,0.0,0.0,0.0,80.0,27.386127,5.6e-05,0.0,0,Benign
101.56675,TCP,56764.0,80.0,376.0,11595.0,8.0,5.0,0.0,0.07692308,0.0,920.8461,2382.2031,8.463896,0.000987,0,DDoS
0.014999,TCP,54911.0,443.0,41.0,0.0,1.0,1.0,0.5,0.5,0.0,41.0,23.671362,0.014999,0.0,0,Benign
0.023538,UDP,60167.0,53.0,59.0,75.0,1.0,1.0,0.0,0.0,0.0,96.5,9.237604,0.023538,0.0,0,Benign
0.001007,TCP,48708.0,80.0,0.0,0.0,2.0,0.0,0.0,0.5,0.0,0.0,0.0,0.001007,0.0,0,DDoS
60.710964,TCP,7773.0,80.0,563.0,10811.0,12.0,15.0,0.0,0.0,0.037037037,421.25925,792.3097,2.335037,0.058078334,0,Benign
0.000172,UDP,52967.0,53.0,82.0,114.0,2.0,2.0,0.0,0.0,0.0,59.25,8.763561,5.733333e-05,0.0,0,Benign
4e-06,TCP,46614.0,80.0,0.0,0.0,2.0,0.0,0.0,0.5,0.0,0.0,0.0,4e-06,0.0,0,DDoS
0.079706,UDP,59495.0,53.0,64.0,96.0,2.0,2.0,0.0,0.0,0.0,48.0,8.763561,0.026568666,0.0,0,Benign
0.105104,TCP,55260.0,443.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.0,0.105104,0.0,0,Benign
12.681491,TCP,58820.0,443.0,0.0,0.0,3.0,0.0,0.0,0.33333334,0.0,0.0,0.0,6.3407454,0.0,0,Benign
63.12349,TCP,39618.0,80.0,0.0,0.0,7.0,0.0,0.0,0.0,0.14285715,0.0,0.0,10.5,7.011848,0,DDoS
1.5e-05,TCP,43882.0,2007.0,0.0,6.0,1.0,1.0,0.0,0.0,0.5,3.0,3.4641016,1.5e-05,0.0,0,PortScan
85.04628,TCP,57732.0,80.0,384.0,11595.0,5.0,7.0,0.0,0.0,0.0,998.75,1713.1077,7.73148,0.00899,0,DDoS
0.06465,TCP,51794.0,8080.0,207.0,134.0,4.0,3.0,0.0,0.0,0.14285715,48.714287,75.57577,0.010775,0.0,0,Botnet
