,Monitor,Alert_Analyst,Block_IP,Isolate_Host,POLICY
Beni/Low/LC,20.56185326726848,11.085525455235183,8.653182283777392,7.87293484450336,Monitor
Beni/Low/HC,21.00053275236189,12.888681095476144,10.153960569221974,7.2529250856748595,Monitor
Beni/Medium/LC,21.3445980205106,9.968788627023256,6.912495591066175,7.404473390839787,Monitor
Beni/Medium/HC,20.643587483396615,10.813974464313313,6.974661579784938,7.172421286385163,Monitor
Beni/High/LC,21.120890296563722,11.779276698553426,9.162211003176125,5.396740064801185,Monitor
Beni/High/HC,21.220829557335584,11.410214469466391,8.155865635103778,6.4154261088822375,Monitor
Susp/Low/LC,6.892403825872895,13.981573415878422,23.254557896336934,14.036251079367105,Block_IP
Susp/Low/HC,5.0122996900511865,12.663247527493219,22.788114503420452,10.248426496872012,Block_IP
Susp/Medium/LC,6.943239527780184,12.3287948909986,23.235688480013188,9.929281423273228,Block_IP
Susp/Medium/HC,4.014716383692297,14.278424371078327,23.38018922939696,12.117772232251003,Block_IP
Susp/High/LC,9.13753526103833,14.005131171236897,22.649052535306268,8.960026220478257,Block_IP
Susp/High/HC,6.770401525219299,22.23096647761534,14.678108575573349,10.803466574536358,Alert_Analyst
Mali/Low/LC,3.9901601013106367,14.670721288310856,23.615171008879475,11.104149722526854,Block_IP
Mali/Low/HC,1.9499109324946344,11.542921004750239,13.04592550920249,25.337027723261112,Isolate_Host
Mali/Medium/LC,3.7342483443809233,9.888351556915554,23.124446170249794,14.007245625464353,Block_IP
Mali/Medium/HC,2.916986264123525,13.344196649154279,13.74384774836436,24.91891735351662,Isolate_Host
Mali/High/LC,1.6616590258762458,12.70799315012854,23.10060359735974,13.549150564527158,Block_IP
Mali/High/HC,2.736517060209696,13.934049812888588,23.318730422941417,12.386908890492645,Block_IP
